Question,Options
苯海拉明产生中枢抑制作用的原因是,"A 不易透过血脑屏障
B 多数可通过血脑屏障
C 中枢H1受体被阻断
D 胎盘屏障
E 以上均不正确"
下列不是氯苯那敏临床应用的是,"A 可用于过敏性鼻炎
B 用于晕动病引起的呕吐
C 用于肠胃病引起的呕吐
D 可用于昆虫咬伤所致的皮肤瘙痒和水肿
E 对气道炎症有一定的疗效"
关于雷尼替丁，哪一项是错误的,"A 是H₂受体阻断药
B 抑制胃酸分泌作用比西米替丁强
C 也能中和胃酸，减轻对溃疡面的刺激
D 肝功不良者t1/2明显延长
E 对基础胃酸和夜间胃酸分泌都抑制"
对雷尼替丁，哪一项是正确的,"A 可加速恢复皮肤黏膜创伤
B 是H1受体阻断药
C 只能用于治疗十二指肠溃疡
D 对反流性胃炎无效
E 属于H2受体阻断剂"
下列不是HMG-CoA还原酶抑制药适应症的是,"A 肾病综合征
B 肾病综合征引起的低Ch血症
C 心脑血管急性事件的预防
D 器官移植后的排异反应
E 骨质疏松症"
以下哪项是心脑血管病的主要病理学基础,"A 骨质疏松
B 血小板减少
C 白细胞升高
D 动脉粥样硬化
E 癌症"
在治疗剂量下，对LDL-C的降低作用最强，TC次之，降TG作用很弱的药物是,"A 他汀类药物
B 贝特类药物
C 噻嗪类药物
D 酰胺类药物
E 钙离子拮抗剂"
与HMG-CoA还原酶的亲和力高出HMG-CoA数千倍，对该酶产生竞争性的抑制作用，使Ch合成受阻的药物是,"A 钙离子拮抗剂
B 贝特类药物
C 噻嗪类药物
D 酰胺类药物
E 他汀类药物"
降低总胆固醇和低密度脂蛋白最明显的药物是,"A 烟酸
B 多烯脂肪酸
C 普罗布考
D 乐伐他汀
E 非诺贝特"
下列不属于他汀类作用的是,"A 调血脂作用
B 抑制血管平滑肌细胞的增殖
C 抑制单核细胞-巨噬细胞的黏附
D 抑制血小板聚集和提高纤溶活性
E 增加动脉壁巨噬细胞形成"
环丙沙星口服利用度约为,"A 0.5
B 0.6
C 0.7
D 0.8
E 0.9"
喹诺酮类药物的临床应用包括,"A 呼吸系统感染
B 泌尿生殖道感染
C 肠道感染与伤寒
D 脑膜炎奈瑟菌
E 以上说法均正确"
铜绿假单胞菌性尿道炎的首选药为,"A 环丙沙星
B 氧氟沙星
C 诺氟沙星
D 左氧氟沙星
E β-内酰胺类"
哪种喹诺酮类药比较适用于肺部感染,"A 诺氟沙星
B 氧氟沙星
C 依诺沙星
D 培氟沙星
E 吡哌酸"
治疗青霉素高度耐药的肺炎链球菌感染首选,"A 氧氟沙星、环丙沙星与万古霉素合用
B 氧氟沙星、莫西沙星与万古霉素合用
C 左氧氟沙星、莫西沙星与万古霉素合用
D 左氧氟沙星、环丙沙星与万古霉素合用
E 左氧氟沙星、莫西沙星与诺氟沙星合用"
囊性纤维化患儿感染铜绿假单胞菌应选用,"A 古霉素
B 环丙沙星
C 莫西沙星
D 氟喹诺酮类
E 左氧氟沙星"
雷尼替丁属于,"A M受体阻断药
B H⁺，K⁺-ATP酶抑制药
C H₁受体阻断药
D 胃泌素受体阻断药
E H₂受体阻断药"
哪一项不是奥美拉唑的不良反应,"A 口干，恶心
B 头晕，失眠
C 胃黏膜出血
D 外周神经炎
E 男性乳房女性化"
兼具抗幽门螺杆菌作用的抗酸药是,"A 氢氧化铝
B 米索前列醇
C 西米替丁
D 哌仑西平
E 奥美拉唑"
奥美拉唑抑制胃酸分泌的机制是,"A 阻断H2受体
B 抑制胃壁细胞H+泵的功能
C 阻断M受体
D 阻断胃泌素受体
E 直接抑制胃酸分泌"
关于奥美拉唑，哪一项是错误的,"A 是目前抑制胃酸分泌作用最强的
B 抑制胃壁细胞H+泵作用
C 也能使促胃液素分泌增加
D 是H2受体阻断药
E 对消化性溃疡和反流性食管炎效果好"
以下哪项与奥美拉唑属于同类抗消化性溃疡药,"A 埃索美拉唑
B 兰索拉唑
C 雷贝拉唑
D 泮托拉唑
E 以上均包括"
以下对糖皮质激素作用的错误叙述为,"A 抗炎作用
B 免疫抑制作用
C 抗外毒素作用
D 抗休克作用
E 稳定溶酶体膜作用"
有关糖皮质激素的叙述正确的是,"A 小剂量抑制体液免疫，大剂量抑制细胞免疫
B 可直接中和细菌内毒素和细菌外毒素
C 抑制胃酸分泌，促进胃液分泌
D 能兴奋中枢，出现欣快，激动等，甚至可诱发精神病
E 能明显增加血液中性粒细胞数，增强其游走吞噬功能"
盐皮质激素、糖皮质激素、性激素的总称是,"A 生长激素
B 促生长激素
C 肾上腺皮质激素
D 促性腺激素释放激素
E 抗生素"
关于糖皮质激素的应用，下列哪项是错误的,"A 水痘和带状疱疹
B 风湿和类风湿性关节炎
C 血小板减少症和再生障碍性贫血
D 过敏性休克和心源性休克
E 中毒性肺炎，重症伤寒和急性粟粒性肺结核"
糖皮质激素对血液系统的影响是,"A 中性粒细胞的数量增加
B 中性粒细胞的数量减少
C 红细胞的数量减少
D 血小板的数量减少
E 红细胞数和Hb均减少"
糖皮质激素的不良反应不包括,"A 向心性肥胖、高血压
B 加重感染、血糖下降
C 骨质疏松、青光眼
D 消化道溃疡、肌萎缩
E 伤口愈合延缓、高血脂"
临床常用的肾上腺皮质激素主要是,"A 盐皮质激素
B 生长激素
C 糖皮质激素
D 抗生素
E 性激素"
β肾上腺素受体阻断药能与激动药可呈典型的,"A 非竞争性拮抗
B 激动去甲肾上腺素能受体
C 强化肾上腺素受体
D 竞争性拮抗
E 激动胆碱能受体"
酚妥拉明对心脏的药理作用除外的是,"A 可抑制心脏兴奋
B 加快心率
C 酚妥拉明具有阻断K+通道的作用
D 使心肌收缩力增强
E 心排出量增加"
下面哪种情况禁用β受体阻断药,"A 心绞痛
B 快速性心律失常
C 高血压
D 重度房室传导阻滞
E 甲状腺机能亢进"
下列哪项不是普萘洛尔的作用,"A 内在拟交感活性
B 抗血小板聚集作用
C 降低眼内压作用
D 减少肾素释放
E 抑制脂肪分解"
酚妥拉明作用于其他药物无效的充血性心脏病时错误的是,"A 心脏后负荷明显降低
B 左室舒张末压下降
C 肺动脉压下降
D 心输出量减少
E 心力衰竭减轻"
酚妥拉明治疗抗休克时不可出现的是,"A 可舒张血管，降低外周阻力
B 心输出量减少
C 适用于感染性、心源性和神经源性休克
D 使用前酚妥拉明必须补足血容量
E 可降低肺循环阻力"
不适合普萘洛尔治疗的疾病是,"A 心律失常
B 心绞痛
C 支气管哮喘
D 甲状腺功能亢进
E 高血压"
普萘洛尔没有下列哪项作用,"A 降低心肌耗氧量
B 增加气道阻力
C 抑制肾素释放
D 抑制脂肪分解
E 增加糖原分解"
以下不属于β肾上腺素受体阻断药的分类,"A 非选择性β肾上腺素受体阻断药
B 选择性β肾上腺素受体阻断药
C 有内在拟交感活性β肾上腺素受体阻断药
D 无内在拟交感活性β肾上腺素受体阻断药
E 异丙肾上腺素"
地西泮临床应用为首选用于,"A 癫痫大发作
B 抑郁症
C 精神病
D 慢性疼痛
E 催眠"
关于苯二氮（艹卓）类的叙述，哪项是错误的,"A 是最常用的镇静催眠药
B 治疗焦虑症有效
C 可用于小儿高热惊厥
D 可用于心脏电复律前给药
E 长期用药不产生耐受性和依赖性"
关于地西泮的叙述，哪项是错误的,"A 肌内注射吸收慢而不规则
B 口服治疗量对呼吸和循环影响小
C 较大剂量易引起全身麻醉
D 可用于治疗癫痫持续状态
E 其代谢产物也有生物活性"
兼有镇静，催眠，抗惊厥，抗癫痫作用的药物是,"A 苯妥英钠
B 地西泮
C 水合氯醛
D 扑米酮
E 司可巴比妥"
苯二氮（艹卓）类药物的作用机制是,"A 直接和GABA受体结合，增加GABA神经元的功能
B 与苯二氮（艹卓）类受体结合，生成新的抑制性蛋白起作用
C 不通过受体，直接抑制中枢神经系统的功能
D 与其受体结合后促进GABA与相应受体结合，增加Cl-通道开放频率
E 与其受体结合后促进GABA与相应受体结合，增加Cl-通道开放的时间"
长期用药可产生耐受性和依赖性的药物是,"A 苯妥英钠
B 地西泮
C 卡马西平
D 阿司匹林
E 氯丙嗪"
药物在体内蓄积过多时发生危害性反应为,"A 副作用
B 毒性反应
C 后遗效应
D 停药反应
E 变态反应"
能与激动药竞争相同受体，其结合是可逆的。通过增加激动药的剂量与拮抗药竞争结合部位，可使量效曲线平行右移，但最大效能不变,"A 完全激动药
B 维生素
C 非竞争性拮抗剂
D 竞争性拮抗药
E 部分激动药"
突然停药后原有疾病加剧,"A 副作用
B 毒性反应
C 后遗效应
D 停药反应
E 变态反应"
药物出现副反应,"A 常发生于剂量过大时
B 常常可以避免
C 通常很严重
D 与药物选择性高低有关
E 不是由于药物的效应"
下列哪种药物中既有亲和力又有内在活性,"A 抗结核药
B 激动药
C 抗生素
D 拮抗药
E 抗真菌药"
血药浓度已降阈浓度以下，药物仍残存的药理效应,"A 副作用
B 毒性反应
C 后遗效应
D 停药反应
E 变态反应"
常见于过敏体质病人,"A 副作用
B 毒性反应
C 后遗效应
D 停药反应
E 变态反应"
凡与用药目的无关，并为病人带来不适或痛苦的反应统称为,"A 副作用
B 毒性反应
C 停药反应
D 变态反应
E 药物不良反应"
药物的选择性低则易发生,"A 副作用
B 毒性反应
C 后遗效应
D 停药反应
E 变态反应"
较严重的不良反应较难恢复，称为,"A 药源性疾病
B 毒性反应
C 后遗效应
D 特异质反应
E 药物不良反应"
特异质反应是指,"A 少数病人对某些药物特别敏感
B 反应性质与常人相同
C 药物固有的药理作用不一致
D 药理性拮抗药救治无效
E 与先天遗传异常无关"
左旋多巴是由以下哪种物质形成儿茶酚胺的中间产物（DA前体）,"A 酪氨酸
B 苏氨酸
C 缬氨酸
D 色氨酸
E 天冬氨酸"
下列哪种疾病主要表现为进行性的锥体外系功能障碍的中枢神经系统退行性疾病,"A 骨质疏松
B 神经衰弱
C 癫痫病
D 中枢性咳嗽
E 帕金森病"
以下关于左旋多巴的叙述正确的是,"A 左旋多巴是多巴胺的前体
B 左旋多巴口服后效果甚微
C 左旋多巴要与L-芳香族氨基酸脱羧酶抑制药合用发挥作用
D 左旋多巴是由酪氨酸形成儿茶酚胺的中间产物
E 以上均对"
增加左旋多巴疗效，减少不良反应的药物是,"A 卡比多巴
B 维生素B6
C 利血平
D 苯海索
E 苯乙肼"
对苯海索的叙述，哪项是错误的,"A 阻断中枢胆碱受体
B 对帕金森的疗效不如左旋多巴
C 对氯丙嗪引起的震颤麻痹无效
D 对僵直和运动困难疗效差
E 外周抗胆碱作用比阿托品弱"
苯海索治疗帕金森病的作用机制是,"A 中枢抗胆碱作用
B 激活多巴胺受体
C 减少多巴胺降解
D 抑制多巴胺再摄取
E 提高脑内多巴胺浓度"
左旋多巴转化为多巴胺的作用机制是,"A 在外周脱羧变成多巴胺起作用
B 促进脑内多巴胺能神经释放递质起作用
C 进入脑后脱羧生成多巴胺起作用
D 在脑内直接激动多巴胺受体
E 在脑内抑制多巴胺再摄取"
以下哪种药物临床用于治疗各种类型的PD病人，但对吩噻嗪类所引起的帕金森综合征无效,"A 多西环素
B 青霉素
C 利福平
D 利多卡因
E 左旋多巴"
吗啡主要用于,"A 慢性钝痛
B 急性锐痛
C 分娩镇痛
D 胃肠绞痛
E 肾绞痛"
有关哌替啶药理作用错误的是,"A 激动μ型阿片受体
B 作用持续时间较短
C 易引起便秘和尿潴留
D 大剂量可引起支气管平滑肌收缩
E 有轻微的子宫兴奋作用"
心源性哮喘宜选用,"A 肾上腺素
B 去甲肾上腺素
C 异丙肾上腺素
D 哌替啶
E 多巴胺"
吗啡的适应证是,"A 分娩止痛
B 支气管哮喘
C 心源性哮喘
D 颅脑外伤止痛
E 感染性腹泻"
吗啡对中枢神经系统的作用是,"A 镇痛，镇静，催眠，呼吸抑制，止吐
B 镇痛，镇静，镇咳，缩瞳，致吐
C 镇痛，镇静，镇咳，呼吸兴奋
D 镇痛，镇静，止吐，呼吸抑制
E 镇痛，镇静，扩瞳，呼吸抑制"
男性患者56岁，有急性心肌梗死病史，经治疗好转后，停药月余，昨夜突发剧咳而憋醒，不能平卧，咳粉红色泡沫样痰，烦躁不安，心率130次/分，血压21.3～12.6kPa，两肺有小水泡音。诊断为急性左心衰竭，心源性哮喘，问用哪组药物治疗最适宜,"A 氢氯噻嗪+地高辛
B 吗啡+毒毛花苷K
C 氢氯噻嗪+硝普钠
D 氢氯噻嗪+卡托普利
E 氢氯噻嗪+氨茶碱"
哌替啶不良反应不包括,"A 出汗
B 恶心
C 呕吐
D 发热
E 心悸"
下列关于吗啡的抑制呼吸作用叙述错误的是,"A 不可抑制呼吸
B 可使呼吸频率减慢、潮气量降低
C 呼吸抑制是吗啡急性中毒致死的主要原因
D 呼吸抑制发生的快慢及程度与给药途径密切相关
E 随剂量增加而作用增强"
女童，2岁，前牙外伤半小时就诊。右上乳中切牙挫入，牙冠向唇侧倾斜，不松动，牙龈淤血。患儿哭闹，无法拍摄根尖片。下一步的处理方法是,"A 观察
B 根管治疗
C 局麻下复位固定
D 3个月后牵引复位
E 拔除"
患儿，5岁半，右下后牙肿痛2日，检查：右下第二乳磨牙冠大部分破坏，龋洞较深，叩（+），松动Ⅱ度，颊侧牙龈处有0.5mm×0.5mm脓肿，X线片显示根吸收达根长1/3，根分歧有低密度阴影，右下第一恒磨牙根形成2/3，上方骨板消失。如果治疗右下第二乳磨牙后仍然松动，症状不缓解，应做的处理是,"A 开放，定期换药
B 完善根管治疗
C 拔除做功能保持器
D 拔除，做远中导板保持器
E 拔除，待第一恒磨牙萌出后矫治"
全脱出的年轻恒牙牙体应储存的介质错误的是,"A 生理盐水
B 牛奶
C 唾液
D 血液
E 干燥保存"
乳牙列牙齿外伤更容易造成,"A 牙根折断
B 牙冠折断
C 牙根和牙冠联合折断
D 牙齿移位
E 牙根吸收"
男性患儿，5岁，因与小朋友玩耍导致牙冠冠折，查牙龈轻微溢血，不松动，X光显示根尖牙周膜间隙轻微变窄，继承恒牙牙胚未受到任何影响，但是大面积牙本质外露，针对此患儿采取的处理方法不正确的是,"A 应该保留牙齿
B 若有尖锐的组织边缘，应调磨圆钝
C 光固化树脂修复
D 若出现牙髓感染迹象，应该进行牙髓摘除术
E 在治疗后一年再次复查"
患儿，5岁半，右下后牙肿痛2日，检查：右下第二乳磨牙冠大部分破坏，龋洞较深，叩（+），松动Ⅱ度，颊侧牙龈处有0.5mm×0.5mm脓肿，X线片显示根吸收达根长1/3，根分歧有低密度阴影，右下第一恒磨牙根形成2/3，上方骨板消失。本病例右下第二乳磨牙的诊断是,"A 慢性根尖炎急性发作
B 根尖脓肿
C 根吸收
D 深龋
E 慢性牙髓炎急性发作"
患儿，女，8岁，右上颌中切牙外伤冠折，切角缺损，即刻来院就诊。口腔检查发现：穿髓孔大，探痛明显，可疑叩痛。治疗首选,"A 直接盖髓术
B 活髓切断术
C 拔髓术
D 根管治疗术
E 塑化疗法"
年轻恒牙根折后治疗原则中错误的是,"A 断端复位，固定患牙
B 一般固定2～3个月
C 消除咬合创伤
D 根尖1/3折断需拔除患牙
E 定期复查，观察牙髓状况"
对于乳牙外伤的患牙，对于距离替换期1～2年，可考虑采取的处理原则是,"A 保留
B 拔除
C 牙弓夹板
D 根管治疗
E 颌间结扎"
年轻恒牙外伤后，牙齿松动但没有位置改变属于,"A 牙齿震荡
B 亚脱位
C 牙齿挫入
D 半脱出
E 侧向移位"
患儿，女，8岁，右上颌中切牙外伤冠折，切角缺损，即刻来院就诊。口腔检查发现：穿髓孔大，探痛明显，可疑叩痛。若治疗成功，家长要求修复缺损，则患牙牙冠应进行,"A 局麻备牙，全冠修复
B 桩冠修复
C 打固位钉，复合树脂充填
D 切角嵌体
E 解释病情，待患儿成年后再做修复"
患者8岁，左右上1嵌入性脱位，正确的处理是,"A 复位固定2周后作根管治疗
B 复位固定2天后作根管治疗
C 观察，待其自然萌出（半年内）一定期复查牙髓活力（1年）
D 根管治疗一观察待其自然萌出
E 以上都不对"
需做再植术的是,"A 年轻恒牙冠折牙本质暴露
B 年轻恒牙根折
C 全脱位半小时的恒牙
D 乳牙嵌入
E 乳牙牙齿震荡"
女童，8岁，前牙外伤1周后就诊。右上中切牙冠折2/3，近中达龈下1mm，露髓处探诊不疼痛，叩诊（+），出血暗红，Ⅰ度松动。X线片未见根折，根尖呈喇叭口型。处理方法选择,"A 氢氧化钙活髓切断术
B 甲醛甲酚活髓切断术
C 根尖诱导成形术
D 根管治疗术
E 拔除"
男性，12岁，2天前碰伤右上中切牙，牙轻度松动，自觉有伸长感，检查牙髓活力试验同正常牙，轻叩痛，无咬合创伤。诊断为,"A 牙震荡
B 牙周炎
C 牙髓坏死
D 牙轻度脱位
E 根折"
需氢氧化钙护髓的牙外伤,"A 年轻恒牙冠折牙本质暴露
B 年轻恒牙根折
C 全脱位半小时的恒牙
D 乳牙嵌入
E 乳牙牙齿震荡"
